Section,Menu item,Price,Sort order,Available
Biryani,Chicken Dum Biryani,129/229,1,T
Biryani,Mutton Dum Biryani,170/300,2,T
Biryani,Egg Biryani,110/200,3,T
Biryani,Paneer Biryani,129/229,4,T
Biryani,Special Chicken Biryani,159/299,5,T
Biryani,Chicken Hyderabadi Biryani,319,6,T
Fried Rice,Chicken Fried Rice,159,1,T
Fried Rice,Egg Fried Rice,129,2,T
Fried Rice,Veg Fried Rice,119,3,T
Fried Rice,Paneer Fried Rice,159,4,T
Fried Rice,Mixed Fried Rice,229,5,T
Chinese,Veg Noodles,119,1,T
Chinese,Chicken Noodles,159,2,T
Chinese,Chicken Hakka Noodles,139,3,T
Chinese,Egg Noodles,129,4,T
Chinese,Mixed Noodles,169,5,T
Chinese,Chilli Chicken,160,6,T
Chinese,Chicken Dry Fry,169,7,T
Chinese,Chicken Lollipop,140,8,T
Chinese,Chilli Baby Corn Dry,219,9,T
Chinese,Crispy Baby Corn,209,10,T
Chinese,Chicken Manchurian,150,11,T
Chinese,Chicken 65,169,12,T
Beverages,Tea (Red),10,1,T
Beverages,Tea (Milk),20,2,T
Beverages,Coffee,30,3,T
Beverages,Soft Drink,30,4,T
Beverages,Banana Shake,60,5,T
Beverages,Lemon Juice,50,6,T
Beverages,Fruit Shake (Seasonal),99,7,T
Indian,Paratha Sabji & Chutney,40,1,T
Indian,Tawa Roti,15,2,T
Indian,Butter Roti,20,3,T
Indian,Plain Rice,59,4,T
Indian,Jeera Rice,69,5,T
Indian,Ghee Rice,79,6,T
Indian,Basmati Rice,79,7,T
Indian,Dum Aloo,99,8,T
Indian,Mixed Vegetables,149,9,T
Indian,Matar Paneer,279,10,T
Indian,Paneer Masala,180,11,T
Indian,Paneer Butter Masala,209,12,T
Indian,Shahi Paneer,249,13,T
Indian,Kadhai Paneer,249,14,T
Indian,Mushroom Matar,279,15,T
Indian,Mushroom Butter Masala,259,16,T
Indian,Butter Chicken Masala,250,17,T
Indian,Dal Fry,60,18,T
Indian,Dal Tadka,80,19,T
Indian,Butter Dal,90,20,T
Indian,Special Mixed Veg,180,21,T
Non Veg,Kadhai Chicken,220,1,T
Non Veg,Chicken Do Pyaza,229,2,T
Non Veg,Chicken Masala,190,3,T
Non Veg,Chicken Curry,160,4,T
Non Veg,Egg Curry,80,5,T
El Classico Specials,Fish Finger,350,1,T
El Classico Specials,Chicken Finger,300,2,T
El Classico Specials,Chicken Cheese Roll,119,3,T
El Classico Specials,Chicken Noorani,350,4,T
El Classico Specials,Chicken Pakoda,149,5,T
El Classico Specials,French Fries,69,6,T
El Classico Specials,Chicken Roll,70,7,T
El Classico Specials,Veg Roll,49,8,T
El Classico Specials,Egg Roll,60,9,T
El Classico Specials,Paneer Roll,70,10,T